Carat,Color,Clarity,Depth,PricePerCt,TotalPrice
1.08,E,VS1,68.6,6693.3,7228.8
0.31,F,VVS1,61.9,3159,979.3
0.31,H,VS1,62.1,1755,544.1
0.32,F,VVS1,60.8,3159,1010.9
0.33,D,IF,60.8,4758.8,1570.4
0.33,G,VVS1,61.5,2895.8,955.6
0.35,F,VS1,62.5,2457,860
0.35,F,VS1,62.3,2457,860
0.37,F,VVS1,61.4,3402,1258.7
0.38,D,IF,60,5062.5,1923.8
0.38,E,VVS2,61.5,3496.5,1328.7
0.38,F,IF,61.8,4252.5,1616
0.39,D,VVS1,61.7,4158,1621.6
0.39,D,VS1,61.7,2983.5,1163.6
0.39,F,IF,61.3,3969,1547.9
0.39,F,VVS1,61.1,3422.3,1334.7
0.4,D,VVS2,59.7,3422.3,1368.9
0.4,D,VVS2,59.6,3422.3,1368.9
0.4,E,VS1,62.2,2937.6,1175
0.4,F,VVS2,60.8,2983.5,1193.4
0.4,F,VVS2,61.7,3121.2,1248.5
0.4,G,VVS1,61.7,3213,1285.2
0.41,E,IF,61.5,4039.2,1656.1
0.41,E,VVS1,60.2,3597.8,1475.1
0.41,F,VS1,61.7,2713.5,1112.5
0.41,F,VS2,61.5,2351.7,964.2
0.41,G,IF,61.1,3685.5,1511.1
0.42,D,VVS2,62.8,3422.3,1437.4
0.42,E,VVS1,59.7,3874.5,1627.3
0.43,G,VVS1,61.8,3307.5,1422.2
0.43,G,SI1,61.2,1984.5,853.3
0.44,G,VS2,62.5,2332.8,1026.4
0.46,D,VVS2,59.7,4036.5,1856.8
0.46,E,VS1,61.8,3591,1651.9
0.46,E,VS1,62,3334.5,1533.9
0.46,E,VS1,62.4,3334.5,1533.9
0.46,E,VS1,61.8,3334.5,1533.9
0.46,F,SI1,62,2268,1043.3
0.47,D,IF,62.4,6048,2842.6
0.47,D,VS1,62.5,3780,1776.6
0.47,F,VS2,61.1,2740.5,1288
0.48,E,VVS2,60.3,3969,1905.1
0.51,D,VVS2,60.1,5197.5,2650.7
0.51,D,VS1,61.4,4314.6,2200.5
0.51,E,VS1,60.4,4131,2106.8
0.52,E,VVS2,61.5,4681.8,2434.5
0.53,E,VS1,62,4131,2189.4
0.53,F,VVS2,61.4,4536,2404.1
0.54,D,VVS2,61.7,5197.5,2806.7
0.54,E,VVS2,61,4681.8,2528.2
0.54,F,VS1,61.7,4252.5,2296.4
0.55,E,VS1,61.5,4556.3,2505.9
0.55,E,VS2,61,3798.9,2089.4
0.55,F,VVS2,62.2,4860,2673
0.55,G,VVS1,61.2,4036.5,2220.1
0.57,D,VS1,61.2,4758.8,2712.5
0.58,E,VS2,61.8,3969,2302
0.58,F,VS2,61.5,3437.1,1993.5
0.58,G,VS2,61.2,3213,1863.5
0.59,E,VS1,61.7,4556.3,2688.2
0.59,E,VS2,61.9,3969,2341.7
0.59,E,VS2,62,4082.4,2408.6
0.59,G,VVS2,61.9,3773.3,2226.2
0.6,D,IF,60.6,7695,4617
0.6,D,VS2,61.6,4063.5,2438.1
0.6,E,VS1,61,3948.8,2369.3
0.6,E,SI1,63,3307.5,1984.5
0.6,E,SI3,61.4,1782,1069.2
0.6,F,VS2,61.6,3693.6,2216.2
0.6,J,SI1,60.4,1890,1134
0.61,D,VS2,62,4063.5,2478.7
0.61,E,VS1,59.7,3948.8,2408.7
0.61,E,VS2,60,3969,2421.1
0.61,E,VS2,61.4,3969,2421.1
0.62,E,VS1,62.2,3948.8,2448.2
0.62,H,VVS2,62.2,3499.2,2169.5
0.63,E,VS1,60.4,4374,2755.6
0.63,F,VVS1,60.8,4819.5,3036.3
0.64,D,SI1,60.6,3496.5,2237.8
0.65,D,IF,62.2,8208,5335.2
0.66,E,VS1,60,4374,2886.8
0.66,E,VS2,62.5,3969,2619.5
0.67,E,VS1,61.6,4434.8,2971.3
0.67,E,VS2,59.5,4252.5,2849.2
0.7,D,VS2,60.7,5467.5,3827.3
0.7,E,VS1,62.7,4738.5,3317
0.7,E,VS2,60.9,4613,3229.1
0.7,E,VS2,63,4131,2891.7
0.7,G,VS1,59.3,4212,2948.4
0.71,D,VS1,62.3,4932.9,3502.4
0.71,D,VS1,62.9,4932.9,3502.4
0.71,D,VS1,61.7,5089.5,3613.6
0.71,D,VS1,63.4,4854.6,3446.8
0.71,E,VS1,62.5,4738.5,3364.3
0.71,E,VS1,59.6,4592.7,3260.8
0.71,F,VVS2,62.6,5197.5,3690.2
