species,brain,gestation,litter,body_size
Aardvark,9.6,31,5,Group2
Acouchis,9.9,98,1.2,Group1
African elephant,4480,655,1,Group4
Agoutis,20.3,104,1.3,Group2
Axis deer,219,218,1,Group3
Badger,53,60,2.2,Group2
Barbary sheep,210,158,1.2,Group3
Barking deer,124,183,1.1,Group3
Bat-eared fox,28.5,65,4,Group2
Beaked whale,500,240,1.8,Group4
Beaver,45,128,4,Group3
Black buck antelope,200,180,1,Group3
Bush baby,9.9,135,1,Group1
Canadian beaver,40,128,2.9,Group3
Capybara,76,123,3,Group3
Caribou,288,225,1,Group4
Cattle,456,280,1,Group4
Chimpanzee,360,230,1,Group3
Chinchilla,5.25,110,2,Group1
Deer mouse I,0.68,23,3.7,Group1
Deer mouse II,0.63,23,5,Group1
Deer mouse III,0.52,24,5,Group1
Deer mouse IV,0.69,24,5,Group1
Dog,70.2,63,4,Group2
Dolphin,1600,360,1,Group4
Domestic cat,28.4,63,4,Group2
Domestic goat,106,151,2,Group3
Domestic pig,180,115,8,Group4
Domestic sheep,125,150,2.4,Group3
Duikers,93,120,1,Group3
Eland,480,255,1,Group4
Elephant shrew I,1.14,51,1.5,Group1
Elephant shrew II,1.37,46,1.5,Group1
Elk,365,235,1,Group4
Fallow deer,223,240,1,Group3
Flying squirrel,1.89,40,3.1,Group1
Fur seal,355,254,1,Group4
Gentle lemur,7.8,145,2,Group1
Gorilla,406,265,1,Group4
Gray fox,37.3,63,3.7,Group2
Grizzly bear,400,219,2.3,Group4
Guinea pig,4.28,67,2.6,Group1
Hamadryas baboon,183,180,1,Group3
Hamster I,0.67,21,4.6,Group1
Hamster II,1.12,16,6.3,Group1
Harp seal,442,240,1,Group4
Hedgehog,3.5,34,4.6,Group1
Hippopotamus,590,240,1,Group4
Hopping mouse,1.18,27,5.6,Group1
Horse,712,330,1,Group4
House mouse,0.45,19,5,Group1
Howler monkey,54,139,1,Group2
Human being,1300,270,1,Group3
Hyrax,20.5,225,2.4,Group2
Jack rabbit,13.3,41,2.5,Group2
Kinkajou,31.2,77,1.1,Group2
Leaf monkey,65.5,168,1,Group2
Lemur,22,135,1,Group2
Leopard,157,92,2.5,Group3
Lion,260,108,3,Group4
Llama,225,330,1,Group3
Long-nose armadillo,12,120,4,Group2
Lynx,75,60,2.5,Group3
Nutria,23,132,5.5,Group2
Orangutan,343,270,1,Group3
Porcupine I,37,112,1.2,Group3
Porcupine II,37,112,1.2,Group3
Porcupine III,24,113,1,Group2
Porpoise,537,270,1,Group3
Pygmy gerbil,1.04,21,4,Group1
Pygmy hippopotamus,260,205,1,Group4
Quokka,17.5,26,1,Group2
Raccoon,41.6,63,3.5,Group2
Rat I,0.72,23,7.3,Group1
Rat II,2.38,21,8,Group1
Red deer,435,255,1,Group4
Red fox,48,52,4,Group2
Rhesus monkey I,84.6,175,1,Group2
Rhesus monkey II,107,165,1.1,Group2
Ring-tail monkey,73,180,1,Group2
Sambar,383,246,1.1,Group4
Sea lion,363,343,1,Group4
Slow loris,12.8,90,1.2,Group1
Spider monkey I,114,140,1,Group2
Spider monkey II,109,140,1,Group2
Tapir,250,390,1,Group4
Tiger,302,104,3,Group4
Tree shrew,3.15,46,3,Group1
Tree squirrel,6.23,38,3,Group1
Vervet guenon,67,195,1,Group2
Vicuna,198,300,1.1,Group3
Weddell seal,550,310,1,Group4
Western baboon,179,180,1,Group3
White-handed gibbon,102,210,1,Group2
Wild boar,185,120,4,Group4
Yak,334,255,1,Group4
