County,Buchanan2000,Bush2000
Alachua,262,34062
Baker,73,5610
Bay,248,38637
Bradford,65,5413
Brevard,570,115185
Broward,789,177279
Calhoun,90,2873
Charlotte,182,35419
Citrus,270,29744
Clay,186,41745
Collier,122,60426
Columbia,89,10964
Dade,561,289456
De Soto,36,4256
Dixie,29,2698
Duval,650,152082
Escambia,504,73029
Flagler,83,12608
Franklin,33,2448
Gadsden,39,4750
Gilchrist,29,3300
Glades,9,1840
Gulf,71,3546
Hamilton,24,2153
Hardee,30,3764
Hendry,22,4743
Hernando,242,30646
Highlands,99,20196
Hillsborough,836,176967
Holmes,76,4985
Indian River,105,28627
Jackson,102,9138
Jefferson,29,2481
Lafayette,10,1669
Lake,289,49963
Lee,305,106141
Leon,282,39053
Levy,67,6860
Liberty,39,1316
Madison,29,3038
Manatee,272,57948
Marion,563,55135
Martin,108,33864
Monroe,47,16059
Nassau,90,16404
Okaloosa,267,52043
Okeechobee,43,5058
Orange,446,134476
Osceola,145,26216
Pasco,570,68581
Pinellas,1010,184312
Polk,538,90101
Putnam,147,13439
St. Johns,229,39497
St. Lucie,124,34705
Santa Rosa,311,36248
Sarasota,305,83100
Seminole,194,75293
Sumter,114,12126
Suwannee,108,8014
Taylor,27,4051
Union,26,2326
Volusia,396,82214
Wakulla,46,4511
Walton,120,12176
Washington,88,4983
Palm Beach,3407,152846
