Residence,date,unit_session_id,Age,BHI_A_1_r,BHI_A_2_r,BHI_A_3,BHI_A_4,BHI_C_1,BHI_C_2_r,BHI_C_3,BHI_C_4_r,BHI_E_1,BHI_E_2_r,BHI_E_3_r,BHI_E_4,BHI_HH_1,BHI_HH_2_r,BHI_HH_3_r,BHI_HH_4_r,BHI_O_1,BHI_O_2_r,BHI_O_3,BHI_O_4,BHI_X_1_r,BHI_X_2,BHI_X_3,BHI_X_4_r,Corona,Curfew_1,Curfew_1_1,Curfew_1_2,Curfew_2,Curfew_2_1,Curfew_2_2,Curfew_2_3,gender,Household_Size,Left_Right_Politics,Nationality,Risk_Duration,Risk_Freq,Risk_Quarantine,survey,ToP_Amount,ToP_Freqency,ToP_Inhouse,ToP_Ratio,Residence_County,BHI_HH_2,BHI_HH_3,BHI_HH_4,HH,BHI_E_2,BHI_E_3,E,BHI_X_1,BHI_X_4,X,BHI_A_1,BHI_A_2,A,BHI_C_2,BHI_C_4,consc,BHI_O_2,open,mobility,public_transport,Quarantine_Duration,continent,Germany,USA,German,American,europe,Americas,Rest,Country,Date.of.First.Case,Date.of.50th.case,date_diff,politics,perceived_threat,age,z.ToP_Amount,z.ToP_Freqency,z.ToP_Inhouse,duration,household,date_diff_z,Cat.Country
NA,2020-03-25,5386579,27,2,4,2,4,4,2,4,2,3,3,4,4,4,2,2,3,5,1,4,4,1,4,5,1,6,1,1,1,1,1,1,1,1,2,1,DE,NA,0,2,1,1,1,2.5,1,NA,4,4,3,-0.1299646953794369,3,2,-0.04228402301515715,5,5,1.2866291200169857,4,2,0.23139317856893354,4,4,0.8415465196383553,5,0.9281744727283533,1,1,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,29,-1.3416012908735158,0.4601992955724603,-0.5326956176526906,-1.0813316838024079,-1.1408800904624739,-1.284847333981703,-0.38637369313045344,-0.3765441605395183,-3.0752036955215343,Europe
NA,2020-03-24,5335463,28,3,4,3,4,2,4,3,3,2,2,4,2,4,2,2,1,3,1,5,4,1,5,4,2,7,1,1,1,1,1,1,1,1,2,1,DE,NA,0,2,1,2,2,10.5,2,NA,4,4,5,0.6161150544644768,4,2,-0.8150342417875702,5,4,0.8934156792262776,3,2,0.23139317856893354,2,3,-1.5340236274371337,5,0.46824324146594526,1,1,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,28,-1.3416012908735158,0.9135707084212937,-0.4297332976095934,0.22889502795817385,0.51074283119541,0.11202311999103683,-0.38637369313045344,-0.3765441605395183,-3.184965490208488,Europe
NA,2020-03-24,5358364,27,4,5,2,1,4,2,4,1,3,1,2,2,5,3,1,3,4,2,4,4,1,4,4,2,7,1,1,1,1,1,1,2,1,2,1,AT,NA,0,2,1,2,2,10.5,3,NA,3,5,3,0.24307517954251995,5,4,0.7304661957572559,5,4,0.5002022384355693,2,1,-2.3678655340775854,4,5,1.23747487748427,4,0.00831201020353719,1,0,0,Europe,0,0,0,0,1,0,0,Austria,2020-02-25,06.03.2020,28,-1.3416012908735158,0.9135707084212937,-0.5326956176526906,0.22889502795817385,0.51074283119541,0.11202311999103683,-0.38637369313045344,-0.3765441605395183,-3.184965490208488,Europe
NA,2020-03-27,5453600,35,2,4,4,2,4,3,4,4,3,5,5,4,4,1,4,2,3,2,4,3,1,4,5,1,3,1,1,1,1,1,1,2,1,2,6,DE,NA,0,2,1,2,2,14.5,2,NA,5,2,4,-0.1299646953794369,1,1,-1.201409351173777,5,5,1.2866291200169857,4,2,0.23139317856893354,3,2,-0.3462385538993893,4,-0.911550452321279,1,0,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,31,1.6517564280109416,-0.89991494297404,0.29100294269208676,0.22889502795817385,0.51074283119541,0.8104583469774068,-0.38637369313045344,-0.3765441605395183,-2.8556801061476262,Europe
NA,2020-03-26,5397541,29,3,3,2,3,3,3,4,2,3,2,4,4,4,1,2,1,4,1,5,4,1,4,4,2,5,2,NA,NA,1,1,1,1,1,2,4,DE,NA,0,2,1,2,2,6.5,2,NA,5,4,5,0.9891549293864337,4,2,0.3440910863710494,5,4,0.5002022384355693,3,3,-0.20181660687215294,3,4,0.04968980394652554,5,0.9281744727283533,0,1,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,30,0.45441334045715864,0.006827882723626893,-0.3267709775664962,0.22889502795817385,0.51074283119541,-0.5864121069953332,-0.38637369313045344,-0.3765441605395183,-2.96544190083458,Europe
NA,2020-03-24,5336242,26,4,4,4,2,5,2,4,3,4,1,2,4,3,1,2,2,4,1,2,5,2,4,4,2,6,1,1,1,1,1,1,2,1,3,3,DE,NA,0,2,1,2,2,2.5,1,NA,5,4,4,0.24307517954251995,5,4,1.8895915239158756,4,4,0.10698879764486113,2,2,-0.6350263923132394,4,3,0.8415465196383553,5,0.00831201020353719,1,0,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,28,-0.14425820331973283,0.4601992955724603,-0.6356579376957877,0.22889502795817385,0.51074283119541,-1.284847333981703,-0.38637369313045344,0.25911343928651615,-3.184965490208488,Europe
NA,2020-03-27,5449975,26,4,4,3,3,3,5,4,5,4,5,4,1,1,4,3,2,4,2,4,4,2,4,4,5,5,1,2,1,1,1,1,1,2,1,9,DE,NA,0,2,1,1,1,2.5,1,NA,2,3,4,-1.9951640699892212,1,2,-1.5877844605599833,4,1,-1.0726515247272634,2,2,-0.6350263923132394,1,1,-1.9299519852830487,4,0.00831201020353719,1,1,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,31,3.4477710593416164,0.006827882723626893,-0.6356579376957877,-1.0813316838024079,-1.1408800904624739,-1.284847333981703,-0.38637369313045344,-1.0122017603655526,-2.8556801061476262,Europe
NA,2020-03-24,5332611,56,4,3,3,3,4,2,4,3,4,3,4,3,3,1,2,3,4,2,4,4,2,4,4,2,5,1,1,1,1,1,1,1,1,3,6,DE,NA,0,2,1,2,2,6.5,2,NA,5,4,3,-0.1299646953794369,3,2,-0.04228402301515715,4,4,0.10698879764486113,2,3,-0.20181660687215294,4,3,0.44561816179244035,4,0.00831201020353719,1,1,0,Europe,0,0,1,0,1,0,0,Austria,2020-02-25,06.03.2020,28,1.6517564280109416,0.006827882723626893,2.4532116635971275,0.22889502795817385,0.51074283119541,-0.5864121069953332,-0.38637369313045344,0.25911343928651615,-3.184965490208488,Europe
NA,2020-03-25,5375484,28,4,4,2,2,4,3,5,2,3,1,2,4,2,3,2,1,4,1,4,4,1,2,4,2,5,1,1,1,1,1,1,2,1,2,4,AT,NA,0,2,1,2,2,22.5,3,NA,3,4,5,-0.5030045703013938,5,4,1.5032164145296691,5,4,-0.2862246431458471,2,2,-1.5014459631954125,3,4,0.8415465196383553,5,0.46824324146594526,1,0,0,Europe,0,0,0,0,1,0,0,Austria,2020-02-25,06.03.2020,29,0.45441334045715864,0.006827882723626893,-0.4297332976095934,0.22889502795817385,0.51074283119541,2.2073288009501466,-0.38637369313045344,-0.3765441605395183,-3.0752036955215343,Europe
NA,2020-03-26,5398206,30,4,4,3,2,4,4,4,2,4,2,4,5,3,1,3,2,3,2,4,4,1,5,5,1,3,1,1,1,1,1,1,2,1,2,3,AT,NA,0,2,1,2,2,10.5,2,NA,5,3,4,-0.1299646953794369,4,2,1.1168413051434625,5,5,1.6798425608076941,2,2,-1.0682361777543259,2,4,0.04968980394652554,4,-0.45161922105887087,1,0,0,Europe,0,0,0,0,1,0,0,Austria,2020-02-25,06.03.2020,30,-0.14425820331973283,-0.89991494297404,-0.22380865752339904,0.22889502795817385,0.51074283119541,0.11202311999103683,-0.38637369313045344,-0.3765441605395183,-2.96544190083458,Europe
