objectid,facilityid,name,systemname,status,length,width,trailtype,surftype,hiking,dogwalking,walking,electric,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,installyr,resurfyr,ownedby,maintby,creationdate,creator,editdate,editor,globalid,shlder,shapestlength
1,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:27Z,KRISTYPO,{497B5C21-AE06-4BCC-94CD-010083768F42},NA,1491.99716393376
2,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:30Z,KRISTYPO,{D83D23B9-3748-4D56-889A-7174923555A0},NA,5148.54138945602
3,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:31Z,KRISTYPO,{A8C5C2F5-9149-43CE-B0E3-97C9D5331385},NA,5044.98910322986
4,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:31Z,KRISTYPO,{11F2F6F1-E06F-48B5-B3A4-4F572D048CEC},NA,2680.82700467518
5,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:32Z,KRISTYPO,{FC6FC289-B4E2-4CDD-9D04-7F951D3D5A48},NA,7858.1878268001
6,NA,East Fork Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:14:56Z,KRISTYPO,{2CB5D3C7-0C13-48BB-95C6-34B24D98F660},NA,4073.72261418559
7,NA,Piney Woods Trail,Northeast Creek Greenway,Proposed,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-07T19:50:18Z,KRISTYPO,{E8497CB3-1BDD-441A-95BA-39ED541A2699},NA,7635.40504647187
8,NA,North Prong Creek Trail,Northeast Creek Greenway,Proposed,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-07-02T20:07:54Z,KRISTYPO,{4A2FA439-3619-4F47-8198-5BB0A55386E2},NA,19242.1003073131
9,NA,Piney Woods Trail,Northeast Creek Greenway,Proposed,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-07T19:50:19Z,KRISTYPO,{D49F19D7-3F90-410F-B9DC-1440961B7A45},NA,5579.09786295134
10,NA,Northeast Creek Trail,Northeast Creek Greenway,Proposed,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:44:35Z,KRISTYPO,{72C31078-2FC3-4015-B6A3-167060F727FC},NA,9219.2768587783
11,NA,Burdens Creek Trail,Northeast Creek Greenway,Proposed,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:58:24Z,KRISTYPO,{12F0313D-E9B3-40DE-A830-514E99EE78B4},NA,3676.28801458613
12,NA,Copper Creek Trail,Northeast Creek Greenway,Proposed,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:05:05Z,KRISTYPO,{07B6B30A-C8DF-4CD8-9D3F-B4F141D32E35},NA,3945.22946842748
13,NA,Southwest Creek Trail,Crooked Creek Greenway,Proposed,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:03:19Z,KRISTYPO,{C469E4E6-97E8-452B-A8EA-101BDA551B2C},NA,6972.93768526917
14,NA,Herndon Creek Trail,NA,Proposed,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:22:39Z,KRISTYPO,{199D1FDB-35FB-44B1-8BCA-988355AC3C35},NA,5991.58456121544
15,NA,Herndon Creek Trail,NA,Proposed,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:22:40Z,KRISTYPO,{BF8567EB-1B4E-42C4-A240-5FB8DE956CFE},NA,6371.70018936373
17,NA,Eagle Spur Trail,American Tobacco Greenway,Proposed,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:13:55Z,KRISTYPO,{AC7553FD-1658-4D06-B4CA-5CC076134462},NA,1200.40885148011
18,NA,Nancy Rhodes Creek Trail,Eno River Greenway,Proposed,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:35:15Z,KRISTYPO,{345659E3-F7B1-4E18-8A7E-4A45704C22D8},NA,4827.4588761151
