Hgt90,Hgt97
14,362
17,442
24,369
22,365
18,356
32,365
22,329
17,298
17,245
21,275
29,333
29,366
18,199
16.5,336
22.5,367
19.5,331
29,371
18,301
32,313
18,321
18,315
18.5,271
22,277
25,341
18,349
18,334
18,303
26,382
20,267
9,248
21,385
15,320
29,325
11,278
10,349
13,392
6,352
20,158
26,327
23,400
25,279
13,312
15,333
30,327
8,386
15,310
17,361
21,388
19,380
20,353
15,340
9,212
22,373
19,293
14,333
20,333
18,322
25,418
21,323
18.4,243
22.5,423
19.8,361
24,283
19,343
19.8,403
24,400
19,353
16,320
24,305
19,252
24.5,344
24,254
19.5,203
20,228
21,366
18,427
19,300
12,313
18,422
16,412
24,402
22,349
20,343
14,414
23,392
21,251
26,419
15,206
13,115
23,452
22,276
22,310
21,371
19,294
18,293
22,229
17,337
19,129
22,487
19,483
13,429
12,298
24,336
10,190
18,339
19,319
18,259
31,374
10,304
21,345
25,331
20,298
22,446
15,306
16.5,308
24.8,454
15.4,454
13.6,421
17.1,429
33.4,404
17.7,299
30.1,333
10.1,177
16.4,345
16.6,176
21.9,299
24,416
17.2,309
7,162
25,315
12.3,458
12.3,352
18.2,327
13.2,397
16,407
13.4,281
10.7,320
21.1,399
18.2,244
17.3,305
23,386
21,483
18,352
20.5,435
25,413
19.2,413
18.5,273
16.5,374
19,389
31.5,273
18.5,283
16.3,333
15.5,302
7,252
9,98
23,285
18.1,261
29.6,332
27,428
28,420
24.3,443
26,382
18.5,361
25.5,355
16.3,277
21,268
16.9,393
24.3,279
16.4,281
21.5,280
15.1,305
19.6,331
21.3,400
19.8,341
16.2,298
18.3,323
18.3,305
17.7,316
19.7,297
16.5,408
15.8,325
13.7,365
20,293
20,353
6,422
14,394
6,363
16,361
15,195
20,279
15,310
14,361
16,337
24,420
27,453
12,340
18,325
11,204
17,314
19,439
18,282
29,366
20,340
25,444
26,356
27,443
24,484
14,252
23,351
17,369
24,411
19,456
18,219
13,344
13,279
8,196
17,333
10,320
20,270
16,424
15,401
18,467
10,387
7,306
33,364
28,412
20,438
24,330
14,393
10,178
25,311
29,357
24,306
14,390
6,348
22,379
20,383
18,264
16,372
18,403
21,374
15,301
24,343
17,314
19,309
19,379
15,342
14,395
14,315
18,334
22,351
18,445
20,401
14,301
13,227
16,180
10,137
22,356
17,384
16,353
13,434
24,299
33,339
20,235
20,362
24,326
25,321
20,273
30,408
26,414
18,427
17,313
20,334
16,372
11,108
27,364
15,316
29,385
25,325
33,390
27,436
18,402
30,414
12,403
34,365
18,473
26,381
28,294
29,345
17,319
10,210
20,92
39,408
24,366
23,390
18,398
15,358
21,383
23,355
8,402
22,403
12,240
33,401
25,134
23,420
20,367
22,387
20,223
18,262
24,308
13,353
21,388
24,303
21,384
13,381
18,238
23,379
17,426
16,198
34,422
29,407
19,272
20,286
30,370
39,441
17,310
29,269
20,177
23,368
20,319
35,321
12,318
28,366
20,359
14,351
17,140
22,279
25,325
17,425
29,469
14,464
15,327
28,170
18,427
22,270
20,351
19,414
30,467
32,375
22,334
19,202
32,355
24,287
27,357
10,392
18,202
13,166
15,345
6,454
7,128
6,379
7,375
12,363
7.5,87
16.8,357
21,384
29.2,501
7,201
17,312
23,356
22,424
20,367
7.3,477
25,381
11,339
26,257
25,360
12,267
15,323
21,325
29,294
23,376
12,442
15,381
16,399
13,313
20,408
18,448
17,360
15,412
15,297
23,310
25,458
13,408
14,454
23,420
14,258
17,87
17,299
16,267
18,373
18,386
15,366
20,266
17,251
17,257
24,386
19,376
19,456
22.5,388
10,291
13,371
14,190
20,345
19,229
25,364
18,278
12,433
13,421
32,444
11,476
27,510
15,462
21,383
20,163
14,413
13,270
7,399
20,327
9,115
26,326
16,449
22,423
33,464
19,297
18,442
19,415
16,329
23,365
20,367
20,331
17,359
16,414
13,444
12,310
14,356
21,388
16,429
18,362
7,380
21,343
21,419
20,460
22,356
10,381
24,303
17,276
11,428
22,409
16,319
21,410
18,366
18,397
17,353
23,511
23,391
11,284
19,125
21,434
18,464
14,325
16,331
20,342
22,158
22,322
17,362
30,401
17,377
14,300
18,297
14,244
14,266
16,103
15.2,284
19,398
9.5,407
18,425
21,419
21,376
14.5,377
24,344
18.2,408
11.1,183
20.5,328
14,321
15,473
17.3,411
16.2,411
14.5,305
23,395
24,405
23,426
13,462
27,357
16,126
16,250
22,319
25,435
23,390
30,308
20,361
28,353
24,363
11,443
18,370
19,330
18,299
22,441
17,323
13,231
17,198
18,462
19,457
15,390
20,365
22,438
21,394
20,403
19,425
22,267
21,457
16,265
27,412
13,374
17,395
19,337
17,437
14,328
16,455
17,403
22,318
24,374
13,408
17,406
16.2,285
19,459
21,496
20,423
21,447
24,436
21,228
20,286
19,387
18,206
20,318
20,200
22,301
22,418
19,370
18,336
18,362
17,446
25,371
20,550
20,452
18,403
20,440
17,358
14,454
15,420
30,429
30,399
15,263
21,367
22,366
22,242
14,200
17,300
11,389
19,281
20,373
17,399
18,340
13,222
22,394
19,366
14,462
14,417
16,354
11,312
21,404
16,282
15,228
27,385
17,331
16,455
23,439
26,320
24,230
29,345
20,377
25,325
20,339
30,393
23,355
23,358
20,347
23,415
16,144
20,509
20,360
10,415
22,431
24,440
24,354
21,369
23,125
22,306
26,277
14,342
26,421
27,275
21,308
18,240
23,268
7,406
24,378
13.5,399
7,365
6,360
11,322
22,366
17,254
22.5,511
12,414
18,373
8,429
13,442
19,442
17.5,304
21,325
10,249
17,160
19,138
16,421
16,325
18,301
24,357
19,426
17,471
11,353
17,348
23,397
11,307
22,350
16,397
20,322
19,413
20,384
13,469
11.5,392
15,371
15,423
16,394
14,435
29,276
18,352
27,408
24,396
8,221
21,338
19,349
19,284
23,163
21,401
31,346
13,333
15,407
14,478
14,474
18,427
19,397
21,544
23,418
20,371
21,374
15,398
29,321
18,364
25,320
20,462
27,433
20,309
20,425
22,143
16,386
24,450
14,419
17,355
22,447
20,427
23,379
11,371
19,408
16,384
12,486
10,316
25,459
18,510
21,413
18,382
18,432
21,431
20,386
28,382
20,310
28,416
24,364
27,428
20,339
22,438
24,315
26,457
18,364
30,419
19,401
20,379
16,411
14,420
28,405
35,558
15,371
19,375
28,407
34,418
23,320
20,319
15,327
34,408
11,362
20,425
25,219
22,405
24,310
15,482
20,409
16,294
19,356
25,551
15,407
20,473
19,381
9,312
13,360
9,463
12,437
24,482
10,401
19,345
11,399
17,235
30,330
17,335
30,393
20,332
22,387
27,310
17,242
20,347
13,181
12,478
15,502
20,387
16,417
18,393
17,507
10,453
19,403
20,427
19,383
11,417
20,408
12.5,266
22,353
19,246
21,394
27,496
10,515
21,361
12,461
31,439
25,389
20,160
20,416
32,381
32,275
26,325
25,468
24,433
16,402
16,282
25,422
22,324
19,334
21,287
17,448
20,388
11,381
19,263
